report_month,cs,funnel,view_scope,date_basis,inquiries,bookings,net_booking_amount,conversion_rate,converted_inquiries,unique_inquiry_conversion_rate,canonical_bookings,recovered_bookings
July 2026,Taira,Chatbot Handoffs,non-additive handoff-origin overlay,inquiry date,639,24,"PHP 477,114.14",3.76%,24,3.76%,22,2
July 2026,Taira,Sunday Experiment Handoffs,non-additive handoff-origin overlay,inquiry date,213,13,"PHP 308,547.50",6.10%,12,5.63%,13,0
July 2026,Rolyn,Mixed with Chatbot,operating funnel,inquiry date,1811,18,"PHP 373,708.83",0.99%,18,0.99%,18,0
July 2026,Rolyn,Pure CS Only,operating funnel,inquiry date,887,7,"PHP 169,133.04",0.79%,7,0.79%,7,0
July 2026,Rolyn,Calls,operating funnel,booking date,,9,"PHP 313,871.26",,,,0,0
July 2026,Aira,Pure CS Only,operating funnel,inquiry date,2825,30,"PHP 671,938.20",1.06%,29,1.03%,30,0
July 2026,Aira,Calls,operating funnel,booking date,,6,"PHP 160,459.82",,,,0,0
July 2026,Remy,Pure CS Only,operating funnel,inquiry date,2820,27,"PHP 548,900.97",0.96%,27,0.96%,27,0
July 2026,Remy,Chatbot Handoff,operating funnel,inquiry date,79,3,"PHP 108,463.56",3.80%,2,2.53%,3,0
July 2026,Remy,Calls,operating funnel,booking date,,4,"PHP 97,931.79",,,,0,0
July 2026,Sarah,Chatbot Handoff + Sarah Closing,operating funnel,inquiry date,755,33,"PHP 660,482.90",4.37%,33,4.37%,31,2
July 2026,Sarah,Mixed,operating funnel,inquiry date,2203,24,"PHP 504,164.84",1.09%,23,1.04%,23,1
July 2026,Sarah,Calls,operating funnel,booking date,,10,"PHP 247,940.26",,,,0,0
